Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;3953ML;1;35100;Epolma;Griftdijk 2;Maarsbergen;30234971;;;;;
2024;3956KJ;1;417000;;;;;;;;;
2024;3956NJ;1;83100;;;;;;;;;
2024;3958MD;1;8000;G Brouwer 2;Ameronger Wetering 6;Amerongen;53632796;;;;;
2024;3959AR;1;92000;Stal De Lange Vos;Haarweg 22;Overberg;30267377;;;;;
2024;3959AT;1;102500;;;;;;;;;
2024;3959AW;1;267300;Autorijschool Dianne;Schoolweg 37;Overberg;54686350;;;;;
2024;3959BE;1;60000;;;;;;;;;
2024;3971KD;1;471800;;;;;;;;;
2024;3972JJ;1;230300;;;;;;;;;
2024;3972MA;1;453200;;;;;;;;;
2024;3972MD;1;123000;;;;;;;;;
2024;3981AN;1;195100;;;;;;;;;
2024;3981HX;1;196000;;;;;;;;;
2024;3985SL;1;103500;;;;;;;;;
2024;3991LN;2;22080;;;;;;;;;
2024;3992LN;1;30000;Stal T Hemeltje;Waijensedijk 23;Houten;30195880;;;;;
2024;3992LR;2;792000;;;;;;;;;
2024;3992LX;1;1362000;Manege En Hengstenhouderij Zilfia Bv;Fortweg 13;Houten;30053490;030 637 1325;;;;
2024;3998NH;1;352000;;;;;;;;;
2024;3998WJ;1;145300;Dah Stables;Neereind 17;Schalkwijk;70884978;;;;;
2024;3999NR;1;803500;;;;;;;;;
2024;3999NT;1;225000;Waalsehoeve;Waalseweg 40;Tull en 't Waal;30242178;;;;;
2024;4011KA;1;252600;Vink Horses;Hogestraat 29 A;Zoelen;60310413;;;;;
2024;4011LG;1;431000;;;;;;;;;
2024;4021HB;1;192500;;;;;;;;;
2024;4021HD;1;319000;Stal Petra Van Den Berg;Tielsestraat 66;Maurik;30239874;;;;;
2024;40229;1;992000;;;;;;;;;
2024;4023CG;1;328500;;;;;;;;;
2024;4032NV;3;250300;Walco Vof;Harensestraat 11;Ommeren;57518025;;;;;
2024;4032NZ;1;67400;;;;;;;;;
2024;4033AK;2;428100;;;;;;;;;
2024;4033CT;1;155000;Paardenfokkerijopfok De Beemd;Beemdsestraat 9;Lienden;72298804;;;;;
2024;4041VA;1;20400;;;;;;;;;
2024;40472;1;214500;;;;;;;;;
2024;40474;1;645900;;;;;;;;;
2024;40489;1;845100;;;;;;;;;
2024;4054NG;1;226900;;;;;;;;;
2024;40589;1;697400;;;;;;;;;
2024;40595;1;657000;;;;;;;;;
2024;40627;1;214000;;;;;;;;;
2024;40629;1;2938900;;;;;;;;;
2024;4064CJ;1;660300;;;;;;;;;
2024;40667;1;187600;;;;;;;;;
2024;40668;1;1021700;;;;;;;;;
2024;40670;1;676600;;;;;;;;;
2024;40699;1;1614300;;;;;;;;;
2024;40721;1;683600;;;;;;;;;
2024;40723;1;176800;;;;;;;;;
2024;40724;1;1860400;;;;;;;;;
2024;40764;1;316700;;;;;;;;;
2024;40789;1;205200;;;;;;;;;
2024;40822;1;1738600;;;;;;;;;
2024;40882;1;1979800;;;;;;;;;
2024;40883;1;832600;;;;;;;;;
2024;40885;1;2141800;;;;;;;;;
2024;4101BK;1;82000;;;;;;;;;
2024;4102NS;1;401500;;;;;;;;;
2024;4105LE;1;1163700;Gh De Leeuw;Prijsseweg 22;Culemborg;30269767;0345 535 700;;;;
2024;41066;1;736600;;;;;;;;;
2024;41068;1;656140;;;;;;;;;
2024;4107LJ;1;404400;De Raad Vof;Rietveldseweg 26 a;Culemborg;64319938;;;;;
2024;4115LN;1;22000;;;;;;;;;
2024;41169;1;39300;;;;;;;;;
2024;41179;1;858000;;;;;;;;;
2024;4117GV;1;650500;Manege Satana;Lutterveld 28;Erichem;72006080;06 53481010;;;;
2024;41189;1;521400;;;;;;;;;
2024;4119LZ;1;691200;;;;;;;;;
2024;41238;1;150500;;;;;;;;;
2024;4124AJ;1;668900;Bosgoed BV;Lange Dreef 21;;;653107007;;;;
2024;4128LM;1;619100;Stoeterij Van Der Vlist;Lakerveld 266;Lexmond;24324200;0182 384 433;;;;
2024;41334;1;3992160;;;;;;;;;
2024;4133LB;1;83500;;;;;;;;;
2024;41352;1;943800;;;;;;;;;
2024;41363;1;2479760;;;;;;;;;
2024;41366;1;92000;;;;;;;;;
2024;41372;1;317700;;;;;;;;;
2024;4145MP;1;244300;;;;;;;;;
2024;41462;1;186000;;;;;;;;;
2024;41468;1;1496400;;;;;;;;;
2024;41472;1;247900;;;;;;;;;
2024;4147EX;2;325000;;;;;;;;;
2024;41516;1;128000;;;;;;;;;
2024;4152GC;1;480900;De Kooihoeve Daj Storij;Tiendweg 9;Rhenoy;30271952;06 51948130;;;;
2024;41564;1;1887800;;;;;;;;;
2024;41569;1;89600;;;;;;;;;
2024;4157GR;1;143500;De Driesprong;Korte Veersteeg 16;Enspijk;30255038;;;;;
2024;4158LE;3;495778;;;;;;;;;
2024;4161AA;1;76400;Stal Borst Vof;Heidensweg 12;Heukelum;30252577;;;;;
2024;4171KD;1;72400;;;;;;;;;
2024;41748;1;564300;;;;;;;;;
2024;41749;1;994300;;;;;;;;;
2024;41751;1;830600;;;;;;;;;
2024;41812;1;448600;;;;;;;;;
2024;4182PC;1;527000;;;;;;;;;
2024;41836;1;849410;;;;;;;;;
2024;41844;1;248400;;;;;;;;;
2024;4205NG;1;475200;Valk Horses Bv;Vlietskade 60;Gorinchem;74996487;06 51400852;;;;
2024;4206BC;1;75800;;;;;;;;;
2024;4208BA;2;781000;;;;;;;;;
2024;4209AX;1;291900;Cw Visser Beheer Bv;Nolweg 33;Schelluinen;24159160;;;;;
2024;42113;1;363200;;;;;;;;;
2024;42117;1;162600;;;;;;;;;
2024;42119;1;698100;;;;;;;;;
2024;4212CZ;1;238000;H De Man;Spijkse Kweldijk 39;Spijk;11025948;;;;;
2024;4214KL;1;381400;;;;;;;;;
2024;4214KW;1;1192000;Opfokstal De Roosahoeve;Molenweg 3;Vuren;75831112;;;;;
2024;4214LD;1;275000;;;;;;;;;
2024;4223MB;1;357100;Pensionstal Den Hartog;Hoge Giessen 3 I;Hoornaar;11057349;;;;;
2024;4225NJ;1;924600;;;;;;;;;
2024;4233CG;1;707300;Manege De Schakel;Reigersdreef 3;Ameide;70769079;;;;;
2024;42369;1;825300;;;;;;;;;
2024;4241EB;1;284400;Mf Van Helden Marskamp;Rietveld 7;Arkel;68858981;;;;;
2024;4245TW;1;85000;Hoeve Versteeg;Middelkoop 90 A;Leerbroek;11050498;;;;;
2024;4247EV;1;636000;Stal Kampinga;Tiendweg 1;Kedichem;56943962;06 14520508;;;;
2024;42489;1;633100;;;;;;;;;
2024;4251NE;1;1633000;;;;;;;;;
2024;4251XX;1;349000;;;;;;;;;
2024;4254LD;1;133900;;;;;;;;;
2024;42551;1;1609900;;;;;;;;;
2024;42553;1;530200;;;;;;;;;
2024;42555;1;363200;;;;;;;;;
2024;42579;1;1866300;;;;;;;;;
2024;4261TD;1;62500;;;;;;;;;
2024;42697;1;716000;;;;;;;;;
2024;42781;1;1629500;;;;;;;;;
2024;42799;1;1552300;;;;;;;;;
2024;4285DP;1;221800;Worrell Stables Postweide Vof;Acacialaan 20;Woudrichem;18057287;;;;;
2024;42929;1;2032200;;;;;;;;;
2024;4315PH;1;559600;;;;;;;;;
2024;4315PK;1;158000;;;;;;;;;
2024;4321TE;1;489200;;;;;;;;;
2024;4323LP;1;371700;Vmf Stables Bv;Krijn Karelsweg 3 a;Ellemeet;20156919;;;;;
2024;4326SC;1;194100;;;;;;;;;
2024;4328NG;1;1018400;;;;;;;;;
2024;4332SM;1;400000;;;;;;;;;
2024;4333KN;1;25200;Sale Horses Nijpjes Bv;Noordweg 516;Middelburg;76560384;;;;;
2024;4333RJ;1;577500;;;;;;;;;
2024;4339PN;1;407300;;;;;;;;;
2024;4352SC;1;109400;;;;;;;;;
2024;4352SM;1;226800;;;;;;;;;
2024;4354KK;2;397100;Stoeterij Hoeve Het Tij;Lepelstraat 6;Vrouwenpolder;78238617;;;;;
2024;4354SE;1;49000;De Bokkesprong;Rijkebuurtweg 5;Vrouwenpolder;64010287;;;;;
2024;4357RB;1;344900;;;;;;;;;
2024;4363RJ;1;64000;;;;;;;;;
2024;4364SL;1;56100;D Maris;Poppendamseweg 5;Grijpskerke;20150780;;;;;
2024;4371EN;1;423400;Braamhof;Braamweg 12;Koudekerke;22052523;0118 592 016;;;;
2024;4371NJ;1;397000;;;;;;;;;
2024;4384NM;1;549900;;;;;;;;;
2024;4389VE;1;114600;;;;;;;;;
2024;4389VJ;1;48400;;;;;;;;;
2024;4421PW;1;456700;;;;;;;;;
2024;44227;1;2501300;;;;;;;;;
2024;4423PE;1;843500;;;;;;;;;
2024;44265;1;237700;;;;;;;;;
2024;44289;1;468100;;;;;;;;;
2024;44319;1;559000;;;;;;;;;
2024;44329;1;477900;;;;;;;;;
2024;44339;1;2192800;;;;;;;;;
2024;4433RZ;1;325700;;;;;;;;;
2024;44357;1;354600;;;;;;;;;
2024;44388;1;466600;;;;;;;;;
2024;4441SJ;1;110100;;;;;;;;;
2024;4443AH;1;255180;Stoeterij Dandelion;Gerbernesseweg 21 A;Nisse;55229433;;;;;
2024;4451NV;1;286100;;;;;;;;;
2024;4454PX;1;41800;;;;;;;;;
2024;44577;1;897600;;;;;;;;;
2024;44579;1;2751500;;;;;;;;;
2024;44627;1;454500;;;;;;;;;
2024;44628;1;336500;;;;;;;;;
2024;44651;1;410000;;;;;;;;;
2024;44795;1;535000;;;;;;;;;
2024;44797;1;248400;;;;;;;;;
2024;44805;1;7300;;;;;;;;;
2024;44807;1;1335800;;;;;;;;;
2024;44867;1;217600;;;;;;;;;
2024;44869;1;1428600;;;;;;;;;
2024;4493NE;1;350000;;;;;;;;;
2024;45133;1;1878900;;;;;;;;;
2024;45134;1;1192430;;;;;;;;;
2024;45149;1;1035400;;;;;;;;;
2024;45239;1;3154800;;;;;;;;;
2024;45257;1;691000;;;;;;;;;
2024;45279;1;751500;;;;;;;;;
2024;45289;1;852800;;;;;;;;;
2024;4529JJ;1;47500;;;;;;;;;
2024;45307;1;118700;;;;;;;;;
2024;45309;1;276300;;;;;;;;;
2024;45327;1;418200;;;;;;;;;
2024;45357;1;1084200;;;;;;;;;
2024;45359;1;370200;;;;;;;;;
2024;4538PN;1;45000;;;;;;;;;
2024;4539PG;1;85780;;;;;;;;;
2024;45470;1;873700;;;;;;;;;
2024;45472;1;1930780;;;;;;;;;
2024;45475;1;640400;;;;;;;;;
2024;45478;1;1864100;;;;;;;;;
2024;45479;1;325260;;;;;;;;;
2024;45481;1;4783700;;;;;;;;;
2024;45527;1;785400;;;;;;;;;
2024;45529;1;2572870;;;;;;;;;
2024;45549;1;1375800;;;;;;;;;
2024;45657;1;309100;;;;;;;;;
2024;45659;1;692300;;;;;;;;;
2024;45663;1;311300;;;;;;;;;
2024;45665;1;788600;;;;;;;;;
2024;4567PA;2;365700;;;;;;;;;
2024;45701;1;517200;;;;;;;;;
2024;45711;1;209400;;;;;;;;;
2024;4571PV;1;534300;;;;;;;;;
2024;45721;1;1308600;;;;;;;;;
2024;45739;1;350000;;;;;;;;;
2024;4575NB;1;40000;;;;;;;;;
2024;4575NH;1;66780;;;;;;;;;
2024;45768;1;719000;;;;;;;;;
2024;45770;1;2031900;;;;;;;;;
2024;45772;1;174200;;;;;;;;;
2024;45883;1;1861000;;;;;;;;;
2024;45892;1;439000;;;;;;;;;
2024;45894;1;225500;;;;;;;;;
2024;45896;1;1365300;;;;;;;;;
2024;45897;1;510200;;;;;;;;;
2024;4589KN;1;12000;;;;;;;;;
2024;45966;1;403300;;;;;;;;;
2024;45968;1;310000;;;;;;;;;
2024;46045;1;330400;;;;;;;;;
2024;46145;1;248000;;;;;;;;;
2024;46147;1;77500;;;;;;;;;
2024;4614BP;1;401400;;;;;;;;;
2024;4614PA;1;66200;;;;;;;;;
2024;4614PL;3;1136300;Manege De Paardenhoeve;Verlengde Zandstraat 7;;;0164-236339;;;;
2024;4614RJ;1;108000;;;;;;;;;
2024;4622RM;1;507600;The Pine Ranch;Bergsebaan 71;Bergen op Zoom;70704929;06 36396594;;;;
2024;46242;1;624400;;;;;;;;;
2024;46244;1;1648600;;;;;;;;;
2024;4624RE;1;285900;;;;;;;;;
2024;46282;1;4079740;;;;;;;;;
2024;46284;1;1615980;;;;;;;;;
2024;46286;1;1071600;;;;;;;;;
2024;4631SZ;1;598400;;;;;;;;;
2024;46325;1;1144100;;;;;;;;;
2024;46342;1;16300;;;;;;;;;
2024;46348;1;395600;;;;;;;;;
2024;4634RG;1;467900;;;;;;;;;
2024;4634TW;1;290900;Africhtings En Handelsstal De Visser;Rijzendeweg 17;Woensdrecht;59256257;;;;;
2024;46359;1;363400;;;;;;;;;
2024;4635RC;1;751300;;;;;;;;;
2024;46414;1;1759100;;;;;;;;;
2024;46446;1;833300;;;;;;;;;
2024;46485;1;1696900;;;;;;;;;
2024;46499;1;358300;;;;;;;;;
2024;46509;1;1535600;;;;;;;;;
2024;46514;1;748990;;;;;;;;;
2024;46519;1;2221000;;;;;;;;;
2024;4651RH;1;133700;;;;;;;;;
2024;4651XT;1;89500;;;;;;;;;
2024;46539;1;3239500;;;;;;;;;
2024;4655TT;1;109664;;;;;;;;;
2024;46562;1;117900;;;;;;;;;
2024;46569;1;4735700;;;;;;;;;
2024;4661PB;1;209400;Q Stables Vof;Tholenseweg 35;Halsteren;20147489;;;;;
2024;4661RE;1;574100;Vof Stal Kommers;Daansbergen 1;Halsteren;61194360;06 22817908;;;;
2024;4664PD;1;241900;;;;;;;;;
2024;4664RC;1;98100;;;;;;;;;
2024;4664RJ;1;235900;;;;;;;;;
2024;4671RB;1;1262700;;;;;;;;;
2024;4693PE;1;430700;;;;;;;;;
2024;4695SH;1;676100;;;;;;;;;
2024;4703SP;1;78000;;;;;;;;;
2024;4706PG;1;267400;;;;;;;;;
2024;4706RA;1;31500;;;;;;;;;
2024;4707PE;1;43500;;;;;;;;;
2024;4707PL;1;326700;;;;;;;;;
2024;4707RL;1;300900;Rockx Beheer En Beleggingen Bv;Passenberg 44;Roosendaal;64036146;;;;;
2024;4707RM;1;85200;;;;;;;;;
2024;4709AS;1;54000;Raats Horses;Bergsebaan 112 a;Nispen;75193329;;;;;
2024;4709PA;1;313800;Mb Dressage Stables;Kerkweg 1;Nispen;20124957;;;;;
2024;4709PB;1;576000;;;;;;;;;
2024;4709PN;1;128300;;;;;;;;;
2024;4709RR;1;60000;;;;;;;;;
2024;47119;1;319600;;;;;;;;;
2024;4714SZ;1;125700;Trainingsstal Koolwijk;Ettenseweg 23;Sprundel;74706640;;;;;
2024;4715EN;1;117300;Stoeterij De Postbaan Bv;Goedevaart 4;Rucphen;20069184;;;;;
2024;4715PA;1;147700;Springstal T Bergse Bos;Roosendaalsebaan 27;Rucphen;55525857;;;;;
2024;4715PE;1;332200;Stal De Wit;de Schietbaan 11;Rucphen;20041236;;;;;
2024;4715PM;1;722500;;;;;;;;;
2024;4715PN;1;1092400;;;;;;;;;
2024;4715RH;1;401500;;;;;;;;;
2024;4715TA;1;277100;;;;;;;;;
2024;47169;1;535800;;;;;;;;;
2024;47199;1;1536700;;;;;;;;;
2024;4721PB;1;172700;Vdh Stables Bv;Plattebaan 2;Schijf;68415621;;;;;
2024;4721PC;3;1079800;Mts De Laat Van Osch;Nederheide 9 A;Schijf;20168761;0165 366 402;;;;
2024;47226;1;361200;;;;;;;;;
2024;47228;1;342900;;;;;;;;;
2024;4722SE;1;82800;;;;;;;;;
2024;47239;1;1052500;;;;;;;;;
2024;47259;1;528700;;;;;;;;;
2024;4725SE;1;1045900;;;;;;;;;
2024;4725SK;2;649900;Vdp Stables;Mariabaan 12;Wouwse Plantage;70964408;06 29024323;;;;
2024;4725SL;1;243700;;;;;;;;;
2024;47264;1;202000;;;;;;;;;
2024;4726TC;1;9700;Stoeterij Zoomvliet;Zoomvlietweg 8;Heerle;20124519;;;;;
2024;4731SN;1;460300;Verdonk Employe;Jan Teunisstraat 24;Oudenbosch;52953130;;;;;
2024;4731TP;1;40000;;;;;;;;;
2024;4735TC;1;134400;;;;;;;;;
2024;4741TE;1;123000;Olwens Hoeve;Gors 62;Hoeven;20071755;;;;;
2024;4741TG;1;210600;;;;;;;;;
2024;4741TP;1;795000;Stal Belvedere Bv;Bovenstraat 75 a;Hoeven;20077757;0165 503665;;;;
2024;47441;1;86700;;;;;;;;;
2024;47445;1;922900;;;;;;;;;
2024;47447;1;4389700;;;;;;;;;
2024;47475;1;536200;;;;;;;;;
2024;47495;1;1368500;;;;;;;;;
2024;47506;1;1174800;;;;;;;;;
2024;47509;1;1400900;;;;;;;;;
2024;4751HP;1;20000;;;;;;;;;
2024;4751RD;2;570360;;;;;;;;;
2024;4751RE;1;121000;;;;;;;;;
2024;4751RW;1;1093700;;;;;;;;;
2024;4751RX;1;230600;;;;;;;;;
2024;4751TE;1;129600;Van Venrooij Equine Services;Opperstraat 12;Oud Gastel;58513302;;;;;
2024;4751VB;1;108300;;;;;;;;;
2024;4751VE;1;312700;D Mosterdijk;Gastelsedijk Zuid 4;Oud Gastel;30255616;;;;;
2024;4751WH;1;41100;;;;;;;;;
2024;47533;1;257500;;;;;;;;;
2024;47551;1;498360;;;;;;;;;
2024;47559;1;582060;;;;;;;;;
2024;4756SE;1;232300;Trainings En Africhtingsstal Testers;Engelseweg 1 d;Kruisland;20079445;;;;;
2024;4756TD;1;30940;;;;;;;;;
2024;47574;1;3602000;;;;;;;;;
2024;47589;1;2127600;;;;;;;;;
2024;4758TT;1;58100;;;;;;;;;
2024;47608;1;578500;;;;;;;;;
2024;4761PN;1;286700;;;;;;;;;
2024;47624;1;924100;;;;;;;;;
2024;47625;1;949800;;;;;;;;;
2024;47626;1;304300;;;;;;;;;
2024;47627;1;408000;;;;;;;;;
2024;4762RA;1;144800;;;;;;;;;
2024;47638;1;191700;;;;;;;;;
2024;47647;1;1299400;;;;;;;;;
2024;47652;1;5976700;;;;;;;;;
2024;47661;1;963600;;;;;;;;;
2024;47665;1;1517400;;;;;;;;;
2024;47669;1;625300;;;;;;;;;
2024;4771RA;1;232700;;;;;;;;;
2024;47800;1;1100400;;;;;;;;;
2024;47802;1;2527200;;;;;;;;;
2024;47803;1;2509000;;;;;;;;;
2024;47807;1;333400;;;;;;;;;
2024;47829;1;489000;;;;;;;;;
2024;4782SC;1;129360;;;;;;;;;
2024;47839;1;1794800;;;;;;;;;
2024;47877;1;2524500;;;;;;;;;
2024;47906;1;3662900;;;;;;;;;
2024;47918;1;881500;;;;;;;;;
2024;4791BM;1;177900;;;;;;;;;
2024;47929;1;893600;;;;;;;;;
2024;4793HJ;1;50400;;;;;;;;;
2024;4793RC;1;23000;;;;;;;;;
2024;48155;1;1329640;;;;;;;;;
2024;48157;1;2183030;;;;;;;;;
2024;48159;1;485190;;;;;;;;;
2024;48161;1;145000;;;;;;;;;
2024;48163;1;219000;;;;;;;;;
2024;48167;1;986650;;;;;;;;;
2024;48249;1;714000;;;;;;;;;
2024;4825BP;1;341200;;;;;;;;;
2024;48291;1;577700;;;;;;;;;
2024;48308;1;153000;;;;;;;;;
2024;48329;1;1436750;;;;;;;;;
2024;48336;1;530040;;;;;;;;;
2024;48341;1;5100;;;;;;;;;
2024;4834XR;1;1177400;;;;;;;;;
2024;4836BC;1;264600;;;;;;;;;
2024;4836MC;1;565600;;;;;;;;;
2024;4838EG;1;452400;Sintels Bv;Rijsbergseweg 590;Breda;20046671;;;;;
2024;4838EP;1;510600;Lips Stables Bv;Vaartwegje 46;Breda;60698608;;;;;
2024;4838GD;1;34300;;;;;;;;;
2024;4838GN;1;12000;;;;;;;;;
2024;4841KK;1;52900;;;;;;;;;
2024;4841KM;1;380200;;;;;;;;;
2024;4841KR;1;322000;Stream Stables;Brielsedreef 55;Prinsenbeek;70911177;;;;;
2024;4841NL;1;17000;;;;;;;;;
2024;48432;1;240800;;;;;;;;;
2024;4844PK;1;807800;;;;;;;;;
2024;4844PN;1;193200;De Liniehoeve;Schimmer 6;Terheijden;51951045;;;;;
2024;4845PL;2;78400;;;;;;;;;
2024;48465;1;72400;;;;;;;;;
2024;4847NC;1;335900;Vof Jespers Nolen;Bergse Pad 8;Teteringen;20055773;;;;;
2024;4847NH;1;301400;Stal Jespers;Hoeveneind 118;Teteringen;71864865;;;;;
2024;4847SH;2;1178100;Balemans Ruitersportcentrum;Laanzichtweg 105;Teteringen;63761432;076 571 0516;;;;
2024;48480;1;122400;;;;;;;;;
2024;48488;1;396600;;;;;;;;;
2024;4849PR;1;199000;;;;;;;;;
2024;4849RD;1;135600;;;;;;;;;
2024;4854PN;1;758000;;;;;;;;;
2024;4855AS;1;310800;;;;;;;;;
2024;4856AA;1;167400;;;;;;;;;
2024;4856AB;1;434100;;;;;;;;;
2024;4858RE;1;61000;;;;;;;;;
2024;4859AC;1;526500;Bg Sporthorses Bv;De Leeuwerik 8 a;Bavel AC;67547958;;;;;
2024;4861PD;1;75200;;;;;;;;;
2024;4861RD;1;761000;Stalhouderij de Sluis;Sluisstraat 3;;;642613484;;;;
2024;4861TD;2;80000;;;;;;;;;
2024;48653;1;943000;;;;;;;;;
2024;48712;1;588000;;;;;;;;;
2024;4871NA;1;1025000;;;;;;;;;
2024;4871NG;1;139080;Paardenmelkerij De Edelweiss;Hanekinderstraat 9;Etten-Leur;20155872;;;;;
2024;48720;1;193600;;;;;;;;;
2024;48734;1;338400;;;;;;;;;
2024;48739;1;69500;;;;;;;;;
2024;4873LJ;1;112860;;;;;;;;;
2024;4873LL;1;478700;;;;;;;;;
2024;4873LN;1;414200;Vof De Bollenhoeve;Bollenstraat 5;Etten-Leur;20100838;;;;;
2024;4873NC;1;63600;;;;;;;;;
2024;4875CB;1;230800;;;;;;;;;
2024;4881ND;1;172700;;;;;;;;;
2024;4881NE;1;189900;;;;;;;;;
2024;4882NN;1;160500;;;;;;;;;
2024;4885KJ;1;214200;Vw Horses;Nieuwmoerseweg 31;Achtmaal;77287517;;;;;
2024;4885KM;1;232900;Jochems Invest;Eendenkooistraat 15;Achtmaal;77077822;;;;;
2024;4885KV;1;127900;;;;;;;;;
2024;4891CM;1;516600;;;;;;;;;
2024;4891NN;1;39900;;;;;;;;;
2024;4891PV;1;403500;;;;;;;;;
2024;4891SW;1;36900;;;;;;;;;
2024;4891TD;1;126840;;;;;;;;;
2024;4891ZB;1;185900;Stal Petrideko;Pannenhoefsebaan 42;Rijsbergen;20161580;;;;;
2024;4902RW;1;336100;;;;;;;;;
2024;4909AE;1;155120;;;;;;;;;
2024;4909AH;1;183300;;;;;;;;;
2024;4909AX;1;75000;;;;;;;;;
2024;4909BD;1;220600;Timmermans Melis;Heistraat 17;Oosteind;20170019;;;;;
2024;4909BJ;1;657600;;;;;;;;;
2024;4911BW;1;1258000;Gj Van Olst Bv;Terheijdensspoor 9;Den Hout;20074975;;;;;
2024;4924EC;1;505300;Stal Van Stokkom;Zeggeweg 3;Drimmelen;20164723;;;;;
2024;4926SL;1;38000;;;;;;;;;
2024;4927RK;1;255400;Horseland Zwaluwe;Moerseweg 5;Hooge Zwaluwe;74647210;;;;;
2024;49479;1;87300;;;;;;;;;
2024;49843;1;333700;;;;;;;;;
2024;50126;1;14000;;;;;;;;;
2024;50127;1;372400;;;;;;;;;
2024;50129;1;108600;;;;;;;;;
2024;5012TC;1;352840;Q Stables;Quirijnstokstraat 17;Tilburg;72332360;;;;;
2024;50170;1;138800;;;;;;;;;
2024;50171;1;56700;;;;;;;;;
2024;50181;1;13000;;;;;;;;;
2024;50189;1;150700;;;;;;;;;
2024;5018TD;1;225000;;;;;;;;;
2024;50226;1;237400;;;;;;;;;
2024;5022AL;1;207100;;;;;;;;;
2024;5022MD;1;16900;;;;;;;;;
2024;50259;1;967900;;;;;;;;;
2024;5032PC;1;1132800;;;;;;;;;
2024;5032PJ;1;274600;;;;;;;;;
2024;5032WR;1;55000;;;;;;;;;
2024;50354;1;65600;;;;;;;;;
2024;5036NA;1;656900;;;;;;;;;
2024;50374;1;88200;;;;;;;;;
2024;5045LN;1;132500;;;;;;;;;
2024;5048CL;1;49540;;;;;;;;;
2024;5048TD;1;7567;;;;;;;;;
2024;5051DD;1;37060;;;;;;;;;
2024;5051HS;1;123000;;;;;;;;;
2024;5051PH;2;340500;;;;;;;;;
2024;5059AM;1;200820;;;;;;;;;
2024;5059AN;1;580000;;;;;;;;;
2024;5062JK;1;823000;Manege T Halster;Sportlaan 2;Oisterwijk;76690970;013 528 3509;;;;
2024;5066CB;2;359600;;;;;;;;;
2024;5066CJ;2;250740;Amm Rijnen;Oirschotseweg 64;Moergestel;17260232;;;;;
2024;5066CV;1;190000;Stal Donkers;Floraweg 1;Moergestel;18059044;;;;;
2024;5066PW;1;282000;Burgers Hengsten Bv;Sebrechtsedijk 2;Moergestel;68287348;;;;;
2024;5066XG;1;119200;Blackstar Stables Bv;Heukelomsebaan 3;Moergestel;78561809;;;;;
2024;5071RA;2;865800;Keuninx Paardenfokkerij En Pension;Schoorstraat 28 a;Udenhout;53193342;013 511 3460;;;;
2024;5071RH;1;53480;;;;;;;;;
2024;5071RP;1;17650;;;;;;;;;
2024;50737;1;13900;;;;;;;;;
2024;50765;1;105900;;;;;;;;;
2024;50769;1;251400;;;;;;;;;
2024;5076PK;1;339880;;;;;;;;;
2024;5076PR;1;364400;Hanzon Horses;Heesakker 5 A;;;653320468;;;;
2024;5081HG;1;279200;Maatschap Bruurs Akkermans;Goirlesedijk 2;Hilvarenbeek;17254920;;;;;
2024;5081NE;1;724800;;;;;;;;;
2024;5081NK;2;547800;Florian Stables;Veldhoven 15 A;Hilvarenbeek;76284395;651529797;;;;
2024;5081XR;1;424400;De Gerdine Hoeve;De Geul 2;Hilvarenbeek;18034960;;;;;
2024;5084HB;1;561500;Stal Van Hoof Bv;Hakvoortseweg 19;Biest-Houtakker;78131138;;;;;
2024;5084HT;1;106400;;;;;;;;;
2024;50859;1;96100;;;;;;;;;
2024;5085ED;1;322300;Stal De Utrecht Vof;Groenstraat 19;Esbeek;18071136;;;;;
2024;5085ND;1;98160;;;;;;;;;
2024;5089NS;1;459200;;;;;;;;;
2024;5089NW;2;484100;Stal Jansen En Jansen Bv;Moergestelseweg 3 A;Haghorst;64447367;;;;;
2024;5089PH;1;17300;Paardenhouderij Rombouts;Koningin Julianaweg 1;Haghorst;80150535;;;;;
2024;5091JS;1;1174200;Steenhof Stables;Steenovenweg 1;Oost West en Middelbeers;17207791;06 25150557;;;;
2024;5091SJ;1;296400;Koen Leemans Equestrian Bv;Langegracht 4;Oost West en Middelbeers;59799595;;;;;
2024;5091TG;1;231100;;;;;;;;;
2024;5091TJ;1;431800;;;;;;;;;
2024;5094BD;1;233180;Ajc Smolders;Neterselsedijk 42;Lage Mierde;54484286;;;;;
2024;5095AB;1;102800;;;;;;;;;
2024;5095AC;2;281280;Frankenhoeve;De Luther 18;Hooge Mierde;68109164;;;;;
2024;5095BD;2;346800;Academy Horses Bv;Koestraat 11 b;Hooge Mierde;68764596;;;;;
2024;50996;1;18000;;;;;;;;;
2024;50997;1;128700;;;;;;;;;
2024;50999;1;182800;;;;;;;;;
2024;5101PA;1;215900;;;;;;;;;
2024;5103BP;1;30000;;;;;;;;;
2024;5105AB;1;15460;;;;;;;;;
2024;51061;1;115600;;;;;;;;;
2024;51069;1;34000;;;;;;;;;
2024;5106AA;1;47000;Stoeterij Klein Dongen Cv;Klein Dongenseweg 43;Dongen;18061869;;;;;
2024;5109RA;1;117350;Vof Melsen;Vaartweg 19 A;'s Gravenmoer;18064684;;;;;
2024;5109TK;1;152000;;;;;;;;;
2024;5111EP;1;145000;;;;;;;;;
